Gyro X, Gyro Y, Gyro Z, Accel X, Accel Y, Accel Z
0.04, 0.06, 0.06, -0.02, -0.05, 9.81
-0.02, 0.08, 0.07, -0.01, -0.02, 9.79
-0.04, 0.16, -0.11, -0.05, -0.05, 9.78
0.02, 0.21, -0.02, -0.00, -0.00, 9.78
0.12, 0.19, -0.06, 0.02, -0.04, 9.78
0.08, 0.13, -0.08, 0.02, -0.03, 9.75
0.09, -0.02, 0.05, 0.01, -0.02, 9.70
0.08, 0.05, 0.01, -0.01, 0.05, 9.70
-0.06, 0.12, 0.03, -0.01, -0.02, 9.81
-0.09, -0.04, 0.09, -0.01, 0.00, 9.78
-0.03, -0.09, 0.05, 0.00, -0.04, 9.81
-0.13, 0.01, 0.19, -0.01, -0.03, 9.77
-0.12, 0.08, 0.08, 0.01, -0.00, 9.85
-0.08, -0.22, 0.04, -0.01, -0.03, 9.79
-0.08, -0.18, 0.14, -0.00, -0.02, 9.80
0.02, 0.02, 0.06, -0.01, -0.07, 9.86
-0.06, -0.06, 0.00, -0.01, -0.04, 9.82
-0.13, 0.06, -0.02, 0.02, -0.06, 9.72
0.02, 0.02, -0.14, 0.01, -0.01, 9.74
0.13, 0.12, -0.08, 0.02, -0.03, 9.71
0.26, 0.23, -0.03, -0.00, -0.03, 9.77
0.29, 0.14, -0.05, -0.02, -0.02, 9.86
0.20, 0.06, -0.02, -0.04, -0.02, 9.77
0.05, 0.12, -0.13, -0.01, -0.00, 9.81
-0.11, 0.15, -0.09, -0.06, 0.01, 9.84
-0.02, 0.06, 0.03, -0.04, 0.01, 9.79
0.14, 0.20, -0.01, -0.03, 0.01, 9.83
-0.08, 0.08, 0.02, -0.04, -0.02, 9.81
-0.07, 0.05, 0.11, -0.04, -0.06, 9.75
0.03, 0.13, 0.04, -0.08, -0.06, 9.80
0.02, 0.21, 0.02, -0.05, -0.01, 9.75
0.00, 0.18, 0.08, -0.05, -0.00, 9.90
0.04, 0.27, 0.05, -0.06, -0.03, 9.87
-0.02, 0.25, -0.05, -0.08, -0.03, 9.78
0.08, 0.24, 0.09, -0.06, -0.01, 9.82
0.05, 0.21, 0.02, -0.10, 0.03, 9.85
0.02, -0.07, 0.03, -0.08, 0.01, 9.81
-0.09, -0.14, -0.03, -0.05, 0.02, 9.86
-0.13, 0.02, 0.02, -0.10, 0.04, 9.78
-0.03, -0.06, 0.02, -0.07, -0.03, 9.81
-0.23, -0.06, 0.00, -0.08, -0.00, 9.83
-0.18, 0.02, -0.10, -0.09, -0.02, 9.80
-0.14, -0.02, -0.08, -0.05, -0.05, 9.77
-0.20, 0.01, 0.02, -0.07, -0.02, 9.76
-0.24, -0.07, 0.09, -0.09, -0.03, 9.79
-0.05, 0.06, -0.06, -0.07, -0.04, 9.75
-0.06, 0.26, -0.01, -0.02, -0.02, 9.74
-0.05, 0.12, -0.06, -0.08, -0.03, 9.75
0.16, -0.11, -0.06, -0.06, -0.01, 9.86
0.08, 0.07, -0.03, -0.06, -0.08, 9.74
-0.08, 0.09, -0.18, 0.01, -0.07, 9.78
0.00, 0.02, -0.18, 0.03, 0.01, 9.82
-0.08, 0.06, -0.01, -0.03, -0.05, 9.77
0.00, 0.02, -0.07, -0.02, -0.04, 9.76
-0.05, 0.05, -0.04, 0.03, -0.03, 9.78
-0.03, -0.04, 0.02, -0.03, -0.01, 9.82
0.20, -0.05, 0.02, 0.03, -0.06, 9.73
0.05, -0.02, 0.14, -0.03, -0.05, 9.75
0.03, -0.08, 0.16, -0.01, -0.02, 9.78
0.02, 0.10, 0.18, -0.02, 0.01, 9.80
0.09, 0.10, 0.11, 0.01, 0.00, 9.73
-0.03, -0.02, 0.02, -0.01, -0.04, 9.72
0.15, 0.08, 0.14, -0.03, -0.04, 9.72
0.10, 0.16, 0.11, 0.00, -0.03, 9.79
0.07, 0.10, 0.02, 0.01, -0.03, 9.74
0.08, 0.11, 0.02, 0.00, 0.01, 9.77
-0.02, 0.23, 0.03, -0.02, 0.01, 9.77
0.05, 0.05, 0.01, -0.04, 0.01, 9.79
0.18, 0.04, -0.18, -0.08, -0.04, 9.81
0.08, 0.02, -0.16, -0.08, -0.00, 9.81
0.02, -0.06, 0.01, -0.06, 0.00, 9.77
0.08, -0.02, -0.02, -0.10, -0.03, 9.85
-0.01, -0.02, -0.12, -0.05, 0.01, 9.82
-0.14, 0.01, -0.05, -0.04, 0.01, 9.83
0.02, -0.09, 0.05, -0.07, -0.05, 9.83
-0.05, 0.11, -0.02, -0.04, -0.01, 9.79
-0.15, 0.11, -0.02, -0.09, 0.02, 9.79
-0.10, 0.13, -0.05, -0.08, -0.01, 9.79
-0.11, 0.15, -0.09, -0.06, 0.01, 9.80
-0.05, 0.21, 0.04, -0.07, 0.02, 9.77
0.01, 0.09, 0.14, -0.06, 0.04, 9.77
0.02, 0.11, 0.21, -0.06, 0.04, 9.71
0.01, 0.10, 0.10, -0.05, 0.02, 9.76
-0.11, -0.03, -0.04, -0.03, 0.00, 9.78
-0.27, -0.16, 0.05, -0.09, 0.01, 9.80
-0.25, -0.07, 0.07, -0.07, -0.03, 9.73
-0.23, -0.06, 0.13, -0.07, -0.01, 9.78
-0.27, -0.04, 0.10, -0.06, -0.03, 9.79
-0.20, 0.13, 0.02, -0.07, -0.02, 9.85
-0.09, 0.07, -0.05, -0.08, -0.04, 9.83
-0.06, 0.13, 0.02, -0.08, -0.06, 9.85
0.02, 0.19, -0.02, -0.10, -0.05, 9.76
-0.03, 0.25, -0.08, -0.10, -0.04, 9.75
-0.02, 0.20, -0.05, -0.09, -0.05, 9.77
0.11, 0.18, 0.05, -0.05, -0.03, 9.70
0.26, 0.14, 0.00, -0.09, -0.01, 9.70
0.09, 0.14, 0.02, -0.06, -0.02, 9.78
0.04, -0.08, 0.06, -0.03, -0.05, 9.74
-0.07, 0.01, 0.05, -0.05, -0.05, 9.79
-0.07, -0.22, 0.04, -0.02, -0.02, 9.70
-0.04, -0.12, -0.02, -0.02, -0.05, 9.71
-0.06, -0.20, -0.04, -0.02, -0.08, 9.79
-0.04, -0.13, -0.03, -0.00, -0.02, 9.79
-0.02, -0.11, -0.05, -0.04, 0.00, 9.74
-0.10, -0.02, -0.02, -0.09, -0.03, 9.75
0.02, 0.16, -0.08, -0.04, -0.01, 9.75
0.02, 0.21, -0.10, -0.02, -0.02, 9.78
0.16, 0.10, -0.11, -0.06, -0.06, 9.74
0.23, 0.01, -0.04, -0.01, -0.05, 9.81
0.35, -0.07, 0.11, -0.03, 0.00, 9.74
0.00, -0.08, -0.08, 0.01, 0.04, 9.80
0.03, -0.05, -0.18, 0.06, 0.00, 9.83
-0.02, 0.08, 0.00, -0.03, 0.05, 9.77
0.02, -0.03, -0.06, 0.04, -0.02, 9.76
0.14, 0.15, -0.02, 0.01, 0.02, 9.80
-0.09, 0.13, 0.07, 0.01, 0.01, 9.73
-0.12, 0.04, 0.03, -0.00, -0.02, 9.78
-0.05, 0.17, 0.04, -0.03, -0.01, 9.78
-0.07, 0.13, 0.02, -0.04, -0.02, 9.77
-0.07, -0.05, 0.18, -0.04, 0.00, 9.76
0.03, 0.03, 0.10, -0.05, 0.03, 9.76
0.01, 0.03, 0.04, -0.05, 0.01, 9.78
-0.13, 0.05, -0.03, -0.01, -0.03, 9.84
0.01, 0.17, 0.00, -0.04, -0.04, 9.85
0.05, 0.03, -0.02, -0.01, -0.03, 9.78
0.06, 0.08, 0.02, -0.04, 0.01, 9.72
0.08, 0.11, -0.03, -0.04, -0.02, 9.80
0.17, 0.10, -0.13, -0.04, -0.01, 9.79
-0.01, 0.07, -0.10, -0.04, -0.00, 9.75
0.05, 0.16, 0.07, -0.07, -0.01, 9.78
0.04, 0.08, -0.04, -0.10, 0.02, 9.82
-0.08, 0.08, -0.08, -0.06, -0.04, 9.81
-0.07, 0.06, -0.05, -0.07, 0.02, 9.83
-0.11, -0.08, -0.02, -0.06, -0.04, 9.87
-0.17, 0.02, 0.00, -0.07, -0.01, 9.85
-0.20, -0.11, 0.03, -0.06, -0.05, 9.84
-0.09, -0.05, 0.14, -0.08, -0.04, 9.80
-0.09, -0.01, 0.11, -0.05, -0.03, 9.79
-0.02, 0.03, 0.11, -0.05, -0.08, 9.76
-0.04, 0.00, 0.12, -0.04, -0.07, 9.81
-0.02, -0.02, 0.02, -0.05, -0.01, 9.76
0.00, 0.06, -0.10, -0.04, -0.02, 9.75
0.02, 0.06, -0.03, -0.04, -0.06, 9.74
-0.10, -0.04, 0.03, -0.03, -0.03, 9.77
0.01, -0.11, 0.06, -0.03, -0.07, 9.82
-0.05, 0.00, -0.01, -0.04, -0.01, 9.74
-0.07, 0.01, -0.11, -0.02, -0.01, 9.73
0.03, -0.05, -0.07, -0.03, -0.03, 9.75
-0.02, 0.03, -0.04, -0.05, -0.03, 9.79
-0.05, 0.00, -0.12, -0.03, -0.04, 9.75
0.10, 0.04, 0.03, -0.02, -0.05, 9.78
0.12, 0.14, -0.02, -0.04, -0.08, 9.77
0.04, 0.07, -0.05, -0.00, -0.01, 9.78
0.11, -0.08, 0.02, -0.01, -0.02, 9.86
0.05, 0.14, -0.08, 0.00, 0.01, 9.80
0.05, -0.05, -0.07, -0.01, 0.01, 9.78
0.10, -0.10, -0.02, -0.02, -0.07, 9.90
0.12, -0.02, 0.20, -0.02, -0.06, 9.82
0.04, 0.05, 0.11, -0.04, -0.02, 9.80
0.11, 0.06, 0.02, -0.02, -0.02, 9.81
0.05, -0.01, 0.08, -0.02, -0.04, 9.84
-0.07, -0.11, 0.07, -0.01, -0.05, 9.82
0.08, 0.11, 0.05, 0.02, -0.03, 9.70
0.14, 0.14, -0.05, -0.01, -0.03, 9.77
0.01, -0.01, -0.05, -0.02, -0.07, 9.75
-0.06, 0.00, -0.02, 0.01, -0.04, 9.74
0.03, 0.05, 0.00, -0.01, -0.01, 9.90
-0.06, 0.08, 0.00, -0.03, 0.02, 9.88
-0.10, -0.02, 0.00, 0.01, -0.07, 9.75
-0.11, 0.03, -0.06, -0.01, 0.01, 9.82
0.03, 0.09, 0.06, 0.01, 0.00, 9.80
-0.02, 0.15, -0.02, -0.02, -0.02, 9.72
-0.03, 0.09, 0.02, -0.01, 0.01, 9.75
0.01, 0.05, 0.01, -0.04, 0.02, 9.82
0.03, 0.07, -0.08, -0.04, 0.00, 9.77
-0.05, 0.08, 0.03, -0.01, -0.07, 9.80
-0.02, 0.14, 0.14, -0.05, -0.05, 9.75
-0.05, 0.23, -0.03, -0.04, -0.01, 9.83
-0.05, 0.27, 0.10, -0.10, -0.01, 9.79
-0.20, 0.14, 0.05, -0.06, -0.04, 9.80
-0.02, 0.10, -0.05, -0.07, -0.02, 9.81
0.14, 0.16, 0.04, -0.01, -0.02, 9.82
0.01, 0.02, -0.03, -0.07, -0.06, 9.78
0.03, 0.06, 0.01, -0.05, -0.04, 9.76
0.01, 0.03, 0.11, -0.07, -0.02, 9.77
-0.02, -0.01, 0.02, -0.03, -0.01, 9.80
-0.01, 0.04, 0.02, -0.11, -0.02, 9.85
0.07, -0.09, 0.06, -0.08, -0.01, 9.79
-0.10, 0.05, -0.08, -0.05, 0.00, 9.78
0.03, 0.07, -0.08, -0.06, -0.01, 9.74
0.06, -0.14, -0.02, -0.07, -0.04, 9.76
0.02, 0.01, 0.05, -0.06, -0.00, 9.81
-0.02, 0.02, -0.02, -0.11, -0.03, 9.72
-0.12, 0.08, -0.04, -0.06, -0.02, 9.82
-0.04, -0.08, 0.00, -0.04, -0.03, 9.78
0.05, -0.09, 0.02, -0.10, 0.01, 9.77
0.06, -0.03, -0.03, -0.06, -0.02, 9.73
-0.12, -0.10, -0.06, -0.02, -0.04, 9.80
-0.18, -0.07, 0.05, -0.08, -0.04, 9.81
-0.01, -0.11, 0.05, -0.05, 0.01, 9.75
0.04, 0.10, 0.03, 0.02, -0.08, 9.77
-0.07, 0.02, -0.16, -0.01, -0.04, 9.79
0.04, -0.01, -0.05, -0.03, -0.04, 9.82
0.11, -0.03, -0.02, -0.02, -0.03, 9.76
0.08, 0.13, -0.02, -0.03, -0.04, 9.90
0.17, 0.04, -0.04, 0.02, -0.04, 9.91
0.12, 0.10, -0.08, 0.03, -0.01, 9.78
0.03, 0.05, 0.06, -0.02, -0.02, 9.86
0.03, 0.08, -0.04, -0.01, -0.01, 9.79
0.05, 0.06, 0.09, 0.03, -0.03, 9.81
-0.07, 0.02, 0.01, -0.00, -0.03, 9.72
-0.08, -0.02, -0.04, -0.00, -0.05, 9.76
-0.01, 0.02, 0.01, -0.03, 0.00, 9.75
0.01, 0.04, 0.08, 0.02, -0.04, 9.83
-0.03, -0.01, 0.08, 0.01, -0.03, 9.76
0.02, 0.05, -0.05, -0.02, 0.01, 9.83
-0.02, -0.09, 0.05, 0.03, 0.00, 9.77
0.10, 0.02, 0.08, -0.02, -0.03, 9.83
0.13, 0.14, -0.11, -0.06, -0.01, 9.88
0.05, 0.08, -0.04, -0.01, -0.01, 9.75
-0.08, 0.06, 0.01, -0.06, 0.01, 9.74
-0.02, 0.21, -0.08, -0.03, -0.02, 9.78
-0.02, 0.19, -0.05, -0.04, -0.01, 9.73
0.03, -0.02, -0.02, -0.07, -0.01, 9.82
-0.16, 0.06, -0.06, -0.00, -0.04, 9.81
-0.05, 0.23, 0.03, -0.00, -0.03, 9.86
-0.02, -0.03, 0.05, 0.01, -0.02, 9.82
0.11, 0.03, -0.02, -0.01, -0.04, 9.78
0.14, 0.18, 0.03, -0.07, -0.02, 9.87
0.02, 0.08, 0.02, -0.08, -0.02, 9.81
0.17, 0.21, 0.03, -0.06, -0.05, 9.86
0.05, -0.05, -0.02, -0.06, -0.03, 9.82
0.09, -0.20, -0.05, -0.08, -0.00, 9.81
0.17, 0.15, -0.11, -0.09, -0.00, 9.82
-0.04, 0.27, -0.01, -0.07, -0.01, 9.79
0.06, 0.13, 0.04, -0.05, -0.00, 9.76
0.08, 0.02, 0.04, -0.08, -0.02, 9.80
0.01, 0.04, 0.08, -0.09, -0.01, 9.82
0.13, -0.03, -0.02, -0.06, 0.00, 9.75
-0.03, -0.05, -0.08, -0.10, -0.01, 9.81
0.00, 0.03, -0.02, -0.10, -0.00, 9.79
-0.14, -0.11, -0.02, -0.10, -0.01, 9.77
-0.06, 0.11, 0.02, -0.05, 0.01, 9.79
0.08, 0.02, -0.04, -0.10, -0.00, 9.77
0.08, 0.01, 0.04, -0.10, 0.04, 9.82
-0.23, 0.05, 0.05, -0.08, 0.00, 9.75
-0.18, 0.02, 0.03, -0.06, -0.05, 9.73
-0.09, 0.06, 0.05, -0.07, -0.01, 9.78
-0.20, -0.17, 0.05, -0.05, 0.02, 9.84
-0.12, -0.09, 0.06, -0.04, -0.07, 9.73
-0.08, -0.01, -0.12, -0.06, -0.01, 9.78
-0.11, -0.04, -0.05, -0.03, -0.01, 9.76
-0.01, -0.05, -0.05, -0.06, -0.00, 9.79
-0.02, -0.04, -0.02, -0.06, -0.02, 9.76
-0.09, -0.08, 0.04, -0.03, -0.04, 9.86
0.08, -0.10, 0.00, -0.05, -0.01, 9.82
0.17, -0.04, -0.12, 0.04, -0.03, 9.77
0.10, 0.02, -0.05, -0.01, -0.01, 9.76
0.09, -0.08, 0.11, -0.01, -0.04, 9.77
0.13, -0.03, -0.12, -0.06, -0.04, 9.78
0.08, 0.24, -0.06, -0.01, -0.02, 9.77
0.07, 0.20, -0.01, -0.05, -0.04, 9.76
0.05, 0.16, 0.00, -0.05, -0.05, 9.78
0.02, 0.20, 0.03, -0.03, -0.03, 9.79
0.03, 0.17, -0.11, -0.02, -0.03, 9.72
0.17, -0.07, -0.02, -0.04, -0.02, 9.77
0.08, -0.05, 0.08, -0.09, -0.09, 9.83
0.16, 0.03, 0.10, -0.01, -0.03, 9.81
0.11, 0.07, 0.08, -0.00, -0.02, 9.86
0.09, -0.02, 0.05, -0.03, -0.03, 9.78
0.08, 0.00, -0.11, -0.00, -0.00, 9.82
0.18, 0.05, -0.01, -0.05, -0.02, 9.92
0.18, 0.05, 0.08, -0.02, -0.03, 9.87
0.03, 0.12, -0.11, -0.01, -0.03, 9.80
0.12, 0.15, -0.02, -0.02, -0.04, 9.72
0.11, 0.13, -0.05, -0.02, -0.00, 9.79
0.11, 0.16, -0.15, -0.01, -0.05, 9.79
-0.03, 0.14, -0.03, -0.04, 0.02, 9.82
0.05, 0.08, 0.01, -0.03, 0.06, 9.86
-0.02, -0.04, -0.02, -0.01, 0.01, 9.79
-0.08, -0.26, 0.07, -0.08, 0.02, 9.91
-0.12, -0.58, 0.12, -0.14, 0.08, 9.86
-0.11, -0.89, 0.04, -0.19, 0.05, 9.85
-0.08, -1.40, 0.00, -0.18, 0.04, 9.68
0.13, -1.79, -0.36, -0.11, -0.07, 9.67
0.31, -1.79, -0.53, -0.23, 0.13, 9.48
0.42, -1.34, -1.17, -0.46, 0.36, 9.93
0.39, -1.46, -1.78, -0.56, 0.17, 9.63
0.56, -2.05, -2.67, -0.52, 0.06, 10.04
0.76, -3.66, -3.30, -0.19, 0.07, 9.90
0.61, -4.65, -3.18, 0.10, -0.10, 9.45
0.56, -4.19, -3.13, 0.30, 0.32, 9.41
0.81, -2.82, -3.29, 0.46, 0.41, 9.08
1.06, 0.11, -3.27, 0.69, 0.25, 9.02
1.46, 4.69, -2.92, 0.51, 0.17, 9.40
1.49, 8.47, -2.65, 0.38, 0.01, 9.92
1.45, 10.35, -2.30, -0.08, 0.14, 10.50
1.37, 10.04, -1.72, -0.29, 0.12, 10.89
1.33, 7.84, -0.75, -0.65, 0.25, 11.21
0.73, 1.59, 0.74, -0.74, 0.34, 10.98
0.50, -2.93, 1.44, -0.56, 0.26, 10.80
-0.14, -7.25, 1.80, -0.16, 0.09, 10.45
-0.81, -10.25, 2.00, 0.39, 0.05, 9.92
-1.42, -10.69, 2.18, 0.72, 0.08, 9.14
-1.82, -7.95, 2.36, 0.89, 0.14, 8.71
-2.39, -4.20, 2.09, 0.86, 0.08, 8.56
-2.47, -0.14, 1.68, 0.75, -0.02, 8.71
-2.53, 3.47, 0.97, 0.49, -0.16, 8.91
-2.53, 5.65, 0.25, 0.23, -0.24, 9.30
-2.60, 6.56, 0.06, 0.04, -0.27, 9.60
-2.17, 6.57, -0.08, -0.31, -0.24, 9.89
-1.63, 5.23, -0.08, -0.57, -0.30, 10.15
-0.95, 2.98, -0.07, -0.73, -0.36, 10.25
-0.14, 0.55, -0.08, -0.64, -0.34, 10.16
0.55, -1.01, -0.27, -0.56, -0.33, 9.96
1.07, -1.54, -0.19, -0.47, -0.29, 9.79
1.49, -1.51, -0.11, -0.38, -0.26, 9.67
1.66, -1.25, -0.46, -0.27, -0.18, 9.67
1.68, -1.18, -0.53, -0.17, -0.17, 9.61
1.40, -0.90, -0.72, -0.09, -0.18, 9.52
1.07, -0.14, -0.99, -0.06, -0.12, 9.58
0.77, 0.40, -1.05, -0.05, -0.12, 9.58
0.50, 0.99, -1.09, -0.10, -0.11, 9.72
0.21, 1.13, -1.46, -0.11, -0.15, 9.89
-0.07, 0.72, -1.42, -0.11, -0.13, 10.02
-0.20, -0.08, -1.27, -0.06, -0.18, 10.17
-0.27, -0.98, -1.45, 0.08, -0.17, 10.10
-0.30, -1.99, -1.18, 0.15, -0.20, 10.00
-0.46, -2.59, -1.05, 0.30, -0.19, 9.87
-0.40, -2.63, -0.95, 0.38, -0.14, 9.69
-0.19, -2.03, -0.91, 0.50, -0.14, 9.53
-0.13, -1.01, -0.86, 0.51, -0.11, 9.42
0.17, 0.31, -0.65, 0.43, -0.10, 9.47
0.37, 1.43, -0.70, 0.33, -0.05, 9.52
0.50, 2.40, -0.76, 0.16, -0.04, 9.63
0.75, 2.56, -0.61, -0.06, -0.07, 9.86
0.94, 1.82, -0.60, -0.17, 0.00, 9.93
0.96, 0.72, -0.69, -0.22, -0.03, 9.95
0.85, -0.27, -0.67, -0.28, 0.01, 9.96
0.82, -1.05, -0.78, -0.26, -0.02, 9.87
0.95, -1.46, -0.86, -0.21, -0.06, 9.83
0.88, -1.33, -0.88, -0.16, 0.02, 9.64
0.91, -0.75, -1.08, -0.09, 0.07, 9.71
0.92, -0.32, -1.11, -0.10, 0.02, 9.70
0.79, 0.06, -1.01, -0.13, 0.06, 9.65
0.46, 0.56, -0.92, -0.41, 0.16, 9.68
0.44, 0.65, -1.21, -0.52, 0.23, 9.77
0.07, 0.16, -1.69, -0.55, 0.27, 9.92
-0.16, -0.80, -1.90, -0.44, 0.15, 9.94
-0.41, -1.53, -2.04, -0.30, 0.14, 9.95
-0.49, -2.19, -2.04, -0.21, 0.12, 9.90
-0.46, -2.46, -1.80, -0.16, 0.11, 10.02
-0.63, -2.42, -1.68, -0.14, 0.26, 9.94
-0.43, -2.22, -1.75, -0.14, 0.12, 9.88
-0.29, -2.37, -2.07, -0.08, 0.17, 9.86
-0.17, -2.37, -2.59, 0.05, 0.04, 9.86
-0.26, -1.83, -2.88, 0.25, 0.08, 9.77
-0.31, -1.27, -2.81, 0.29, 0.09, 9.68
-0.47, -0.81, -2.70, 0.31, 0.16, 9.77
-0.36, -0.19, -2.59, 0.29, 0.06, 9.81
-0.40, 0.16, -2.48, 0.38, -0.12, 9.95
-0.74, 0.18, -2.44, 0.14, -0.04, 10.20
-1.33, -1.36, -3.08, -0.02, 0.14, 10.17
-1.90, -2.57, -4.17, 0.18, -0.07, 9.70
-2.37, -2.14, -5.07, 0.35, -0.46, 9.90
-2.95, -1.58, -5.94, 0.09, -0.57, 10.12
-3.11, -1.63, -6.95, 0.16, -0.49, 9.61
-2.72, -1.05, -7.76, 0.16, -0.29, 9.32
-1.85, 0.75, -8.33, 0.23, -0.26, 9.18
-0.78, 2.43, -8.89, 0.16, -0.49, 9.46
0.11, 3.36, -9.35, -0.28, -0.58, 9.34
0.91, 3.94, -10.03, -0.42, -0.39, 9.49
2.05, 3.15, -11.29, -0.60, -0.32, 9.83
2.24, 2.14, -12.06, -0.48, -0.27, 9.81
2.30, 1.38, -12.65, -0.58, -0.22, 9.58
2.26, 0.94, -13.22, -0.43, -0.16, 9.54
2.06, 0.87, -13.60, -0.51, -0.21, 9.73
1.66, 0.21, -14.01, -0.59, -0.21, 9.89
1.29, -0.77, -14.84, -0.65, -0.32, 10.00
1.08, -1.66, -15.49, -0.43, -0.31, 9.86
0.59, -1.46, -16.11, -0.37, -0.27, 9.79
0.14, -0.68, -16.54, -0.22, -0.32, 9.79
-0.02, 0.04, -16.79, -0.30, -0.33, 9.85
-0.21, 0.27, -17.27, -0.28, -0.36, 10.01
-0.31, -0.04, -17.68, -0.29, -0.33, 10.12
-0.75, -0.49, -17.82, -0.24, -0.30, 10.18
-0.79, -0.72, -18.00, -0.27, -0.35, 10.20
-0.98, -1.28, -18.16, -0.13, -0.30, 10.02
-1.21, -1.57, -18.17, -0.01, -0.33, 10.00
-1.40, -1.79, -17.99, 0.08, -0.30, 9.96
-1.43, -2.10, -17.88, 0.11, -0.35, 9.88
-1.21, -2.19, -17.79, 0.14, -0.23, 9.80
-0.66, -2.22, -17.89, 0.13, -0.10, 9.55
0.24, -2.59, -18.01, 0.17, -0.03, 9.63
1.26, -3.05, -18.28, 0.31, -0.16, 9.56
1.89, -2.88, -18.37, 0.40, -0.22, 9.63
2.67, -2.50, -18.42, 0.57, -0.19, 9.28
3.46, -1.80, -18.38, 0.61, 0.06, 9.08
4.32, -0.63, -18.37, 0.53, 0.09, 9.17
4.62, 0.27, -18.70, 0.42, -0.01, 9.32
4.68, 0.77, -19.18, 0.47, -0.07, 9.53
4.56, 0.70, -19.53, 0.80, 0.02, 9.61
4.34, -0.19, -19.50, 1.05, 0.14, 9.43
4.23, -1.08, -19.24, 1.06, 0.20, 9.16
3.99, -1.21, -19.06, 1.03, 0.28, 9.64
3.40, -1.09, -19.30, 0.96, 0.05, 9.84
2.91, -1.28, -19.66, 1.02, 0.14, 9.57
2.84, 0.31, -19.47, 0.96, 0.35, 9.37
2.86, 3.38, -19.17, 0.77, 0.44, 9.74
3.12, 5.72, -19.09, 0.40, 0.32, 9.99
3.08, 5.25, -19.13, 0.27, 0.25, 10.42
2.95, 3.72, -19.07, 0.11, 0.30, 10.70
2.42, 1.53, -18.96, 0.17, 0.39, 10.54
2.08, 0.35, -18.40, 0.14, 0.29, 10.27
1.77, 0.31, -17.70, 0.02, 0.30, 10.29
1.43, -0.43, -17.44, -0.15, 0.26, 10.45
1.21, -1.69, -17.65, 0.04, 0.24, 10.29
1.13, -2.69, -17.87, 0.17, 0.29, 9.96
0.85, -2.46, -17.93, 0.40, 0.41, 9.62
0.67, -0.93, -17.77, 0.50, 0.27, 9.59
0.43, 0.57, -17.56, 0.33, 0.12, 9.88
-0.32, 0.95, -17.65, 0.23, 0.02, 10.00
-0.88, 0.41, -18.26, 0.26, 0.14, 9.93
-1.24, 0.01, -18.65, 0.36, 0.23, 9.75
-1.37, -0.12, -18.46, 0.39, 0.35, 9.67
-1.39, 0.51, -18.26, 0.42, 0.21, 9.43
-1.27, 1.82, -17.74, 0.30, 0.05, 9.66
-1.25, 1.90, -17.65, 0.02, -0.09, 9.99
-1.05, 0.11, -18.26, 0.11, -0.08, 9.85
-0.96, -0.50, -18.58, 0.19, -0.06, 9.64
-0.65, -0.44, -18.36, 0.37, -0.05, 9.61
-0.31, 0.35, -17.93, 0.29, -0.09, 9.68
0.09, 0.72, -17.84, 0.09, -0.14, 9.65
0.47, 0.76, -17.96, 0.07, -0.16, 9.84
0.73, 0.43, -18.42, 0.07, -0.18, 9.79
0.82, 0.14, -18.71, 0.09, -0.13, 9.73
1.13, 0.19, -19.04, 0.16, 0.00, 9.64
1.18, 0.44, -19.02, 0.16, -0.04, 9.56
